aws.com
*.aws.com
awsapps.com
*.awsapps.com
portal.azure.com
*.portal.azure.com
login.live.com
images-na.ssl-images-amazon.com
d1.awsstatic.com
internal-cdn.amazon.com
media.amazonwebservices.com
d0.awsstatic.com
m.media-amazon.com
l0.awsstatic.com
amazonams.com
*.amazonams.com
aws.amazon.com
*.aws.amazon.com
console.awsstatic.com
*.console.awsstatic.com
console.aws.a2z.com
*.console.aws.a2z.com
signin.aws
*.signin.aws
cloudfront.net
*.cloudfront.net
*.amazonaws.com
amazonaws.com
amazontrust.com
*.amazontrust.com
*.fe1.controlup.com
fe1.controlup.com
*.fe3.controlup.com
fe3.controlup.com
*.rt-app.controlup.com
rt-app.controlup.com
*.solve.controlup.com
solve.controlup.com
*.cu-ca-eu.controlup.com
cu-ca-eu.controlup.com
*.uploader-eu-central-1.controlup.com
uploader-eu-central-1.controlup.com
*.mp.controlup.com
mp.controlup.com
*.insights-hec.controlup.com
insights-hec.controlup.com
*.rt-app-eu.controlup.com
app.controlup.com
prod-dex-login-westeurope.controlup.com
prod-dex-login-eastus.controlup.com
rt-app-eu.controlup.com
*.aka.ms
aka.ms
ajax.aspnetcdn.com
*.ajax.aspnetcdn.com
*.amp.azure.net
amp.azure.net
*.broadcast.skype.com
broadcast.skype.com
*.compass-ssl.microsoft.com
compass-ssl.microsoft.com
*.keydelivery.mediaservices.windows.net
keydelivery.mediaservices.windows.net
*.lync.com
lync.com
*.mlccdn.blob.core.windows.net
mlccdn.blob.core.windows.net
*.mlccdnprod.azureedge.net
mlccdnprod.azureedge.net
*.msecnd.net
msecnd.net
*.msedge.net
msedge.net
*.mstea.ms
mstea.ms
*.secure.skypeassets.com
secure.skypeassets.com
*.sfbassets.com
sfbassets.com
*.skype.com
skype.com
*.skypemaprdsitus.trafficmanager.net
skypemaprdsitus.trafficmanager.net
*.streaming.mediaservices.windows.net
streaming.mediaservices.windows.net
*.teams.microsoft.com
teams.microsoft.com
*.urlp.sfbassets.com
urlp.sfbassets.com
*.videoplayercdn.osi.office.net
videoplayercdn.osi.office.net
*.telemetry.microsoft.com
telemetry.microsoft.com
*.aadrm.com
