Exclude,Servers,172.17.16.116/32
Exclude,Servers,172.30.15.151/32
Exclude,Servers,172.17.16.101/32
Exclude,Servers,172.17.16.107/32
Exclude,Servers,172.17.16.113/32
Exclude,Servers,172.17.16.103/32
Exclude,Servers,172.17.16.110/32
Exclude,Servers,172.17.16.114/32
Exclude,Servers,172.17.16.108/32
Exclude,Servers,172.17.16.111/32
Exclude,Servers,172.17.16.115/32
Exclude,Servers,172.16.2.1/32
Exclude,Servers,172.17.16.102/32
Exclude,Servers,192.168.95.6/32
Exclude,Servers,192.168.95.5/32
Exclude,Servers,172.28.2.100/32
Exclude,Servers,172.17.16.120/32
Exclude,Servers,192.168.99.6/32
Exclude,Servers,192.168.99.5/32
Exclude,Servers,172.21.2.100/32
Exclude,Servers,172.23.2.100/32
Exclude,Servers,172.29.3.100/32
Exclude,Servers,172.29.103.100/32
Exclude,Servers,172.22.2.100/32
Exclude,Servers,172.25.2.100/32
Exclude,Servers,172.24.2.100/32
Exclude,Servers,172.26.2.43/32
